source_platform,keyword,product_title,product_url,offer_id,price,min_order_quantity,sales_text,shop_name,shop_url,location,image_url,capture_status,capture_note
"1688","娃娃机","跨境儿童抓娃娃机玩具家用夹娃娃电动夹小公仔扭蛋机迷你抓娃娃机","https://s.1688.com/selloffer/similar_search.html?offerIds=818768396445&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01tAxgPE1PmvDnseukk_%21%212207300581884-0-cib.jpg&scene=similar_search&postCatPaths=124734035","818768396445","¥34.56","","全网5400+件","广东佰思玩具有限公司","http://shop11846uh5016e4.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01tAxgPE1PmvDnseukk_!!2207300581884-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","新款儿童娃娃机家用公仔扭蛋机玩具过节小型迷你新款生日玩具礼物","https://s.1688.com/selloffer/similar_search.html?offerIds=925614124560&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01a5kzrz1PmvFD0GwFH_%21%212207300581884-0-cib.jpg&scene=similar_search&postCatPaths=124734035","925614124560","¥62","","3500+件","广东佰思玩具有限公司","http://shop11846uh5016e4.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01a5kzrz1PmvFD0GwFH_!!2207300581884-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","跨境兔子娃娃机玩具儿童娃娃机家用公仔男女孩玩具迷你扭蛋机批发","https://s.1688.com/selloffer/similar_search.html?offerIds=925138545789&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01pBEWRb1PmvFDOmPDQ_%21%212207300581884-0-cib.jpg&scene=similar_search&postCatPaths=124734035","925138545789","¥42","","5100+件","广东佰思玩具有限公司","http://shop11846uh5016e4.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01pBEWRb1PmvFDOmPDQ_!!2207300581884-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","台湾娃娃机投币器JY-100F台币游戏币代币夹币钱道弹珠机入币接收","https://s.1688.com/selloffer/similar_search.html?offerIds=937535213471&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01o3UZZi1SspCcAh38v_%21%212216133032303-0-cib.jpg&scene=similar_search&postCatPaths=1045018","937535213471","¥22","","2900+件","广州市番禺区南村漫立芳电子产品经营部","http://mlfdmpj.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01o3UZZi1SspCcAh38v_!!2216133032303-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","抓娃娃机大型商用新款电玩城扫码夹公仔机零食机投币夹子机娃娃机","https://s.1688.com/selloffer/similar_search.html?offerIds=821191066610&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01yg9xO62IXATVDzB6A_%21%212215098159295-0-cib.jpg&scene=similar_search&postCatPaths=1045018","821191066610","¥1988","","80+件","广州百惠动漫科技有限公司","http://shop8507t960q3293.1688.com?tracelog=p4p","","https://cbu01.alicdn.com/img/ibank/O1CN01yg9xO62IXATVDzB6A_!!2215098159295-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","儿童抓娃娃机玩具家用夹娃娃电动夹小公仔扭蛋机迷你抓娃娃机","","994650727963","¥34.47","","全网2.4万+件","1688选品中心官方供应链","http://shop22t2285192lq7.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01tAxgPE1PmvDnseukk_!!2207300581884-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","抓娃娃机厂家全透明夹娃娃机无人自助扫码投币娃娃机夹公仔机厂家","https://s.1688.com/selloffer/similar_search.html?offerIds=799410711218&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN015LGPQb1N30C3BlwCn_%21%212200699711513-0-cib.jpg&scene=similar_search&postCatPaths=1045018","799410711218","¥788","","","广州五花海科技有限公司","http://wuhuahai.1688.com?tracelog=p4p","","https://cbu01.alicdn.com/img/ibank/O1CN015LGPQb1N30C3BlwCn_!!2200699711513-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","抓娃娃机夹公仔机claw crane game machine 商用扫码投币抓零食盲","https://s.1688.com/selloffer/similar_search.html?offerIds=1013874906286&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01rMHAWy1ikbz3AB1oR_%21%212220807604451-0-cib.jpg&scene=similar_search&postCatPaths=1045018","1013874906286","¥1980","","全网700+件","广州宇博益智游乐科技有限公司","http://yubo16888.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01rMHAWy1ikbz3AB1oR_!!2220807604451-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","豪华全类型透明娃娃机娱乐设备 商用大型投币夹公仔机礼品机","https://s.1688.com/selloffer/similar_search.html?offerIds=708197778422&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01OGN0rJ2IXAHOXjAcg_%21%212215098159295-0-cib.jpg&scene=similar_search&postCatPaths=1045018","708197778422","¥1000","","","广州百惠动漫科技有限公司","http://shop8507t960q3293.1688.com?tracelog=p4p","","https://cbu01.alicdn.com/img/ibank/O1CN01OGN0rJ2IXAHOXjAcg_!!2215098159295-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","新款单剪机娃娃机大型商用投币扫码剪刀机游戏机夹公仔机厂家直销","","930607617235","¥5500","","","广州趣玩乐享动漫科技有限公司","http://shop9888a50z73h07.1688.com?tracelog=p4p","","https://cbu01.alicdn.com/img/ibank/O1CN01C4jqcP1UmzNrQaOpA_!!2217502672561-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","娃娃机新款公仔厂家批发扫码支付投币夹机占电玩游戏机抓娃娃机器","https://s.1688.com/selloffer/similar_search.html?offerIds=630828093100&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01OevED11N2zzrEesMM_%21%212200699711513-0-cib.jpg&scene=similar_search&postCatPaths=1045018","630828093100","¥1980","","","广州五花海科技有限公司","http://wuhuahai.1688.com?tracelog=p4p","","https://cbu01.alicdn.com/img/ibank/O1CN01OevED11N2zzrEesMM_!!2200699711513-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","动漫城游戏币篮子币筐框塑料收纳盒加厚游戏厅电玩城装币盒币篓","https://s.1688.com/selloffer/similar_search.html?offerIds=828944568481&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN018KJsQz1MW1iQT1yOq_%21%212217505731441-0-cib.jpg&scene=similar_search&postCatPaths=1045018","828944568481","¥0.44","","全网10万+件","苏州瑞匠商贸有限公司","http://shop8hm0o52791105.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN018KJsQz1MW1iQT1yOq_!!2217505731441-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","娃娃机","年新款抓娃娃机大号儿童玩具家用夹公仔扭蛋机男女孩生日礼物","","989514622153","¥32.56","","全网2.3万+件","1688小店进货官方供应链","http://shop99dx039474552.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01rpPjzn1JA610NJMwb_!!2212456470987-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","商用娃娃机","商场投放娃娃机大型夹公仔投币抓娃娃机器游戏厅电玩城礼品机商用","https://s.1688.com/selloffer/similar_search.html?offerIds=730871800232&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01DuG3D31xBXsVHdxEW_%21%214012546405-0-cib.jpg&scene=similar_search&postCatPaths=1045018","730871800232","¥2880","","50+件","广州艾玩智能科技有限公司","http://aiwan8.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01TKR3bt1xBXsPZn8OR_!!4012546405-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","商用娃娃机","鑫宝跨境扭蛋机网红打卡抽奖活动暖场吸粉礼品机圆柱形投币商用款","https://s.1688.com/selloffer/similar_search.html?offerIds=1067818110598&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01LdWGoU1gIYY951rR0_%21%212218120754119-0-cib.jpg&scene=similar_search&postCatPaths=1045018","1067818110598","¥1680","","","广州漫春科技有限公司","http://shop686g10j751846.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01LdWGoU1gIYY951rR0_!!2218120754119-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","商用娃娃机","四人精品抓娃娃机商用大型电玩城投币游戏机抓礼品机扫码夹公仔机","https://s.1688.com/selloffer/similar_search.html?offerIds=787618716865&imageAddress=https%3A%2F%2Fcbu01.alicdn.com%2Fimg%2Fibank%2FO1CN01zZpufZ1xBXxRMuQOH_%21%214012546405-0-cib.jpg&scene=similar_search&postCatPaths=1045018","787618716865","¥275","","","广州艾玩智能科技有限公司","http://aiwan8.1688.com","","https://cbu01.alicdn.com/img/ibank/O1CN01zZpufZ1xBXxRMuQOH_!!4012546405-0-cib.jpg_460x460q100.jpg_.webp","success",""
"1688","商用娃娃机","商用抓娃娃机大型投币夹公仔机自助扫码四人精品机零食机源头厂家","","1045182495990","¥180","","30+件","广州美吉思智能科技有限公司","http://shop0580i336203w4.1688.com?tracelog=p4p","","https://cbu01.alicdn.com/img/ibank/O1CN01MOozf22AZRblCS5j3_!!2218601128217-0-cib.jpg_460x460q100.jpg_.webp","success",""
